type,subtype,epc_score,immo_status,postalcode,district,province,region
HOUSE,HOUSE,D,FOR_SALE,4100,62000,62000,3000
HOUSE,HOUSE,G,FOR_SALE,6990,83000,80000,3000
HOUSE,APARTMENT_BLOCK,C,FOR_SALE,6950,83000,80000,3000
HOUSE,HOUSE,B,FOR_SALE,4630,62000,62000,3000
HOUSE,HOUSE,E,FOR_SALE,9930,44000,40000,2000
HOUSE_GROUP,HOUSE_GROUP,A,FOR_SALE,5330,92000,90000,3000
HOUSE_GROUP,HOUSE_GROUP,E,FOR_SALE,9050,44000,40000,2000
HOUSE,HOUSE,C,FOR_SALE,4624,62000,62000,3000
HOUSE,HOUSE,E,FOR_SALE,1080,21000,400001,4000
HOUSE_GROUP,HOUSE_GROUP,C,FOR_SALE,9800,44000,40000,2000
HOUSE_GROUP,HOUSE_GROUP,D,FOR_SALE,8660,38000,30000,2000
HOUSE,HOUSE,B,FOR_SALE,4682,62000,62000,3000
HOUSE_GROUP,HOUSE_GROUP,C,FOR_SALE,9000,44000,40000,2000
HOUSE,HOUSE,D,FOR_SALE,1310,25072,20002,3000
HOUSE,HOUSE,D,FOR_SALE,1332,25072,20002,3000
HOUSE,TOWN_HOUSE,E,FOR_SALE,1170,21000,400001,4000
HOUSE,MIXED_USE_BUILDING,C,FOR_SALE,9600,45000,40000,2000
HOUSE,HOUSE,C,FOR_SALE,1740,23000,20001,2000
HOUSE,HOUSE,D,FOR_SALE,4020,62000,62000,3000
HOUSE,HOUSE,G,FOR_SALE,4560,61031,62000,3000
HOUSE_GROUP,HOUSE_GROUP,B,FOR_SALE,9000,44000,40000,2000
HOUSE,HOUSE,B,FOR_SALE,1170,21000,400001,4000
HOUSE,VILLA,C,FOR_SALE,1332,25072,20002,3000
HOUSE,VILLA,D,FOR_SALE,3061,24000,20001,2000
HOUSE,VILLA,F,FOR_SALE,1410,25072,20002,3000
HOUSE,EXCEPTIONAL_PROPERTY,B,FOR_SALE,6660,82003,80000,3000
HOUSE,HOUSE,E,FOR_SALE,1050,21000,400001,4000
HOUSE_GROUP,HOUSE_GROUP,E,FOR_SALE,9500,41000,40000,2000
HOUSE,HOUSE,C,FOR_SALE,1800,23000,20001,2000
HOUSE,TOWN_HOUSE,B,FOR_SALE,1800,23000,20001,2000
HOUSE_GROUP,HOUSE_GROUP,B,FOR_SALE,8554,34000,30000,2000
HOUSE_GROUP,HOUSE_GROUP,E,FOR_SALE,8660,38000,30000,2000
HOUSE,HOUSE,D,FOR_SALE,1457,25072,20002,3000
HOUSE,HOUSE,D,FOR_SALE,4257,64074,62000,3000
HOUSE_GROUP,HOUSE_GROUP,F,FOR_SALE,2450,13000,11002,2000
HOUSE_GROUP,HOUSE_GROUP,D,FOR_SALE,9190,46000,40000,2000
HOUSE,VILLA,E,FOR_SALE,1332,25072,20002,3000
HOUSE_GROUP,HOUSE_GROUP,C,FOR_SALE,3390,24000,20001,2000
HOUSE,HOUSE,B,FOR_SALE,9500,41000,40000,2000
HOUSE,HOUSE,G,FOR_SALE,4000,62000,62000,3000
HOUSE,HOUSE,F,FOR_SALE,4300,64074,62000,3000
HOUSE,HOUSE,D,FOR_SALE,4530,61031,62000,3000
HOUSE,HOUSE,G,FOR_SALE,5004,92000,90000,3000
HOUSE,HOUSE,G,FOR_SALE,4300,64074,62000,3000
HOUSE,HOUSE,G,FOR_SALE,5640,92000,90000,3000
HOUSE,HOUSE,G,FOR_SALE,5650,93000,90000,3000
HOUSE,HOUSE,G,FOR_SALE,5004,92000,90000,3000
HOUSE,HOUSE,F,FOR_SALE,1050,21000,400001,4000
HOUSE,MIXED_USE_BUILDING,C,FOR_SALE,1020,21000,400001,4000
HOUSE,HOUSE,B,FOR_SALE,3000,24000,20001,2000
HOUSE,HOUSE,C,FOR_SALE,1500,23000,20001,2000
HOUSE,BUNGALOW,B,FOR_SALE,9140,46000,40000,2000
HOUSE,HOUSE,E,FOR_SALE,1150,21000,400001,4000
HOUSE,HOUSE,F,FOR_SALE,1880,23000,20001,2000
HOUSE,HOUSE,G,FOR_SALE,7760,57081,50000,3000
HOUSE,HOUSE,D,FOR_SALE,9890,44000,40000,2000
HOUSE,HOUSE,C,FOR_SALE,1070,21000,400001,4000
HOUSE,HOUSE,C,FOR_SALE,1310,25072,20002,3000
HOUSE,HOUSE,F,FOR_SALE,1420,25072,20002,3000
HOUSE,HOUSE,B,FOR_SALE,9000,44000,40000,2000
HOUSE,HOUSE,D,FOR_SALE,1160,21000,400001,4000
HOUSE,VILLA,C,FOR_SALE,1420,25072,20002,3000
HOUSE_GROUP,HOUSE_GROUP,B,FOR_SALE,8790,34000,30000,2000
HOUSE_GROUP,HOUSE_GROUP,B,FOR_SALE,5030,92000,90000,3000
HOUSE_GROUP,HOUSE_GROUP,B,FOR_SALE,4624,62000,62000,3000
HOUSE_GROUP,HOUSE_GROUP,C,FOR_SALE,7540,57081,50000,3000
HOUSE_GROUP,HOUSE_GROUP,B,FOR_SALE,7181,52000,50000,3000
HOUSE,HOUSE,F,FOR_SALE,4031,62000,62000,3000
HOUSE,HOUSE,B,FOR_SALE,1310,25072,20002,3000
HOUSE,HOUSE,D,FOR_SALE,1853,23000,20001,2000
HOUSE,HOUSE,D,FOR_SALE,1160,21000,400001,4000
HOUSE,HOUSE,D,FOR_SALE,2550,11002,11002,2000
HOUSE,HOUSE,D,FOR_SALE,8000,31000,30000,2000
HOUSE,HOUSE,E,FOR_SALE,1702,23000,20001,2000
HOUSE,VILLA,F,FOR_SALE,1150,21000,400001,4000
HOUSE,APARTMENT_BLOCK,B,FOR_SALE,4000,62000,62000,3000
HOUSE,HOUSE,D,FOR_SALE,1440,25072,20002,3000
HOUSE,VILLA,F,FOR_SALE,1700,23000,20001,2000
HOUSE,HOUSE,E,FOR_SALE,1930,23000,20001,2000
HOUSE,VILLA,C,FOR_SALE,1820,23000,20001,2000
HOUSE,HOUSE,C,FOR_SALE,1703,23000,20001,2000
HOUSE,HOUSE,C,FOR_SALE,1420,25072,20002,3000
HOUSE,HOUSE,E,FOR_SALE,9890,44000,40000,2000
HOUSE,HOUSE,C,FOR_SALE,9890,44000,40000,2000
HOUSE,HOUSE,F,FOR_SALE,9890,44000,40000,2000
HOUSE,HOUSE,F,FOR_SALE,1650,23000,20001,2000
HOUSE,HOUSE,C,FOR_SALE,1080,21000,400001,4000
HOUSE,HOUSE,E,FOR_SALE,4340,62000,62000,3000
HOUSE,HOUSE,F,FOR_SALE,1780,23000,20001,2000
HOUSE,APARTMENT_BLOCK,C,FOR_SALE,3200,24000,20001,2000
HOUSE,EXCEPTIONAL_PROPERTY,C,FOR_SALE,1910,23000,20001,2000
HOUSE,VILLA,B,FOR_SALE,9870,44000,40000,2000
HOUSE_GROUP,HOUSE_GROUP,B,FOR_SALE,3271,24000,20001,2000
HOUSE,HOUSE,C,FOR_SALE,1470,25072,20002,3000
HOUSE,APARTMENT_BLOCK,D,FOR_SALE,3200,24000,20001,2000
HOUSE_GROUP,HOUSE_GROUP,D,FOR_SALE,9190,46000,40000,2000
HOUSE,HOUSE,G,FOR_SALE,1400,25072,20002,3000
HOUSE,TOWN_HOUSE,F,FOR_SALE,1702,23000,20001,2000
HOUSE,HOUSE,F,FOR_SALE,1150,21000,400001,4000
HOUSE,HOUSE,E,FOR_SALE,1150,21000,400001,4000
HOUSE,VILLA,B,FOR_SALE,1300,25072,20002,3000
HOUSE,VILLA,F,FOR_SALE,1970,23000,20001,2000
HOUSE,HOUSE,F,FOR_SALE,9000,44000,40000,2000
HOUSE,HOUSE,D,FOR_SALE,9000,44000,40000,2000
HOUSE,VILLA,C,FOR_SALE,1428,25072,20002,3000
HOUSE,HOUSE,E,FOR_SALE,4040,62000,62000,3000
HOUSE_GROUP,HOUSE_GROUP,B,FOR_SALE,9500,41000,40000,2000
HOUSE_GROUP,HOUSE_GROUP,F,FOR_SALE,9660,45000,40000,2000
HOUSE_GROUP,HOUSE_GROUP,F,FOR_SALE,4920,62000,62000,3000
HOUSE,HOUSE,D,FOR_SALE,2800,12000,11002,2000
HOUSE,HOUSE,E,FOR_SALE,4160,61031,62000,3000
HOUSE_GROUP,HOUSE_GROUP,B,FOR_SALE,9600,45000,40000,2000
HOUSE_GROUP,HOUSE_GROUP,D,FOR_SALE,9000,44000,40000,2000
HOUSE_GROUP,HOUSE_GROUP,C,FOR_SALE,9000,44000,40000,2000
HOUSE_GROUP,HOUSE_GROUP,B,FOR_SALE,1930,23000,20001,2000
HOUSE,HOUSE,C,FOR_SALE,1020,21000,400001,4000
HOUSE,VILLA,B,FOR_SALE,2960,11002,11002,2000
HOUSE,VILLA,C,FOR_SALE,2900,11002,11002,2000
HOUSE,VILLA,E,FOR_SALE,9820,44000,40000,2000
HOUSE,VILLA,D,FOR_SALE,1950,23000,20001,2000
HOUSE,HOUSE,F,FOR_SALE,9404,41000,40000,2000
HOUSE,MIXED_USE_BUILDING,F,FOR_SALE,1150,21000,400001,4000
HOUSE,APARTMENT_BLOCK,C,FOR_SALE,1190,21000,400001,4000
HOUSE,HOUSE,E,FOR_SALE,1190,21000,400001,4000
HOUSE,MIXED_USE_BUILDING,E,FOR_SALE,1060,21000,400001,4000
HOUSE,HOUSE,C,FOR_SALE,1500,23000,20001,2000
HOUSE,HOUSE,C,FOR_SALE,1502,23000,20001,2000
HOUSE,MANSION,E,FOR_SALE,9300,41000,40000,2000
HOUSE,HOUSE,E,FOR_SALE,5030,92000,90000,3000
HOUSE,VILLA,B,FOR_SALE,1950,23000,20001,2000
HOUSE,HOUSE,D,FOR_SALE,8580,34000,30000,2000
HOUSE,HOUSE,D,FOR_SALE,4520,61031,62000,3000
HOUSE,HOUSE,D,FOR_SALE,9820,44000,40000,2000
HOUSE,HOUSE,B,FOR_SALE,9000,44000,40000,2000
HOUSE,HOUSE,C,FOR_SALE,1300,25072,20002,3000
HOUSE,HOUSE,C,FOR_SALE,1330,25072,20002,3000
HOUSE,HOUSE,C,FOR_SALE,1500,23000,20001,2000
