price,price_per_sqmeter,plot_area,habitable_surface,bedroom_count,land_surface,room_count
119000,650.0,183.0,60.0,2,123.0,3
224000,205.0,1095.0,196.0,5,899.0,6
325000,910.0,357.0,235.0,4,122.0,5
379000,441.0,860.0,130.0,3,730.0,4
495000,423.0,1169.0,194.0,4,975.0,5
589500,859.0,0.0,0.0,2,0.0,3
600000,3922.0,153.0,0.0,3,0.0,4
300000,556.0,540.0,145.0,3,395.0,4
398670,814.0,490.0,190.0,5,300.0,6
412300,2593.0,159.0,0.0,1,0.0,2
351250,2810.0,125.0,0.0,0,0.0,1
499000,256.0,1948.0,235.0,6,1713.0,7
609000,3239.0,188.0,0.0,2,0.0,3
485000,1276.0,380.0,148.0,3,232.0,4
485000,1276.0,380.0,148.0,3,232.0,4
749000,1762.0,425.0,205.0,5,220.0,6
295000,591.0,499.0,339.0,5,160.0,6
299000,1031.0,290.0,166.0,3,124.0,4
299000,934.0,320.0,190.0,2,130.0,3
299000,299.0,1001.0,262.0,4,739.0,5
604000,3283.0,184.0,0.0,0,0.0,1
499500,2099.0,238.0,138.0,3,100.0,4
500000,446.0,1122.0,265.0,5,857.0,6
510000,586.0,870.0,168.0,3,702.0,4
695000,670.0,1038.0,252.0,5,786.0,6
999990,67.0,15027.0,500.0,7,14527.0,8
1950000,2720.0,717.0,388.0,4,329.0,5
328000,1822.0,180.0,0.0,0,0.0,1
399000,1275.0,313.0,138.0,3,175.0,1
595000,1234.0,482.0,246.0,5,236.0,6
301021,2135.0,141.0,0.0,3,0.0,4
314000,2512.0,125.0,0.0,0,0.0,1
300000,389.0,772.0,102.0,2,670.0,3
300000,353.0,849.0,190.0,3,659.0,4
317000,2201.0,144.0,0.0,1,0.0,2
512500,2669.0,192.0,0.0,2,0.0,3
515000,957.0,538.0,176.0,4,362.0,5
522500,2397.0,218.0,0.0,3,0.0,4
174000,967.0,180.0,110.0,2,70.0,3
199000,2970.0,67.0,43.0,3,24.0,4
215000,827.0,260.0,150.0,3,110.0,4
245000,405.0,605.0,170.0,3,435.0,4
210000,843.0,249.0,83.0,2,166.0,3
240000,247.0,970.0,120.0,3,850.0,4
250000,140.0,1786.0,135.0,4,1651.0,5
250000,140.0,1786.0,135.0,4,1651.0,5
425000,511.0,831.0,83.0,2,748.0,3
530000,4417.0,120.0,120.0,2,0.0,3
499000,1876.0,266.0,185.0,4,81.0,5
899000,3553.0,253.0,173.0,3,80.0,3
549000,476.0,1154.0,230.0,3,924.0,4
549000,278.0,1977.0,212.0,3,1765.0,4
550000,1652.0,333.0,145.0,3,188.0,4
285000,571.0,499.0,285.0,4,214.0,5
295000,165.0,1790.0,240.0,2,1550.0,3
357500,977.0,366.0,171.0,3,195.0,4
375000,864.0,434.0,156.0,3,278.0,4
375000,1465.0,256.0,75.0,2,181.0,3
375000,312.0,1203.0,114.0,3,1089.0,4
1150000,3151.0,365.0,279.0,4,86.0,5
995000,2469.0,403.0,251.0,5,152.0,6
2195000,470.0,4674.0,485.0,4,4189.0,5
314493,2184.0,144.0,0.0,4,0.0,5
339999,2615.0,130.0,0.0,4,0.0,5
367000,2073.0,177.0,0.0,3,0.0,4
388000,2536.0,153.0,0.0,1,0.0,2
526964,2571.0,205.0,0.0,1,0.0,2
269000,580.0,464.0,186.0,4,278.0,5
499000,929.0,537.0,206.0,4,331.0,5
430000,743.0,579.0,144.0,3,435.0,4
549000,1867.0,294.0,200.0,5,94.0,6
574900,843.0,682.0,230.0,3,452.0,4
630000,1987.0,317.0,203.0,3,114.0,4
775000,881.0,880.0,220.0,4,660.0,5
1050000,1309.0,802.0,210.0,4,592.0,5
1199000,1888.0,635.0,513.0,10,122.0,11
275000,404.0,680.0,130.0,2,550.0,3
559000,869.0,643.0,182.0,3,461.0,4
559000,434.0,1289.0,259.0,3,1030.0,4
575000,427.0,1347.0,250.0,4,1097.0,5
579000,486.0,1192.0,192.0,3,1000.0,4
360000,885.0,407.0,150.0,3,257.0,4
362500,974.0,372.0,174.0,3,198.0,4
362500,974.0,372.0,174.0,3,198.0,4
367500,977.0,376.0,176.0,3,200.0,4
385000,1046.0,368.0,139.0,4,229.0,5
379000,1083.0,350.0,250.0,4,100.0,5
385000,352.0,1093.0,130.0,3,963.0,4
389000,1415.0,275.0,145.0,3,130.0,4
390000,760.0,513.0,194.0,3,319.0,4
795000,377.0,2108.0,445.0,4,1663.0,5
795000,521.0,1525.0,250.0,4,1275.0,5
389000,2080.0,187.0,0.0,2,0.0,3
390000,201.0,1940.0,195.0,4,1745.0,5
390000,693.0,563.0,190.0,3,373.0,4
368500,2595.0,142.0,0.0,1,0.0,2
368000,518.0,710.0,221.0,3,489.0,4
369000,961.0,384.0,157.0,3,227.0,4
660000,1671.0,395.0,175.0,3,220.0,4
675000,1696.0,398.0,155.0,4,243.0,5
675000,650.0,1038.0,200.0,4,838.0,5
915000,1169.0,783.0,208.0,4,575.0,5
225000,2812.0,80.0,55.0,1,25.0,2
235000,2938.0,80.0,55.0,1,25.0,2
2195000,470.0,4674.0,485.0,4,4189.0,5
164000,638.0,257.0,167.0,4,90.0,5
329000,1869.0,176.0,0.0,2,0.0,3
430000,2275.0,189.0,0.0,4,0.0,5
319000,1876.0,170.0,0.0,0,0.0,1
315000,873.0,361.0,172.0,2,189.0,3
315000,231.0,1365.0,125.0,3,1240.0,4
332000,4579.0,0.0,0.0,1,0.0,2
540250,3650.0,148.0,0.0,2,0.0,3
540250,3650.0,148.0,0.0,4,0.0,5
611625,3186.0,192.0,0.0,3,0.0,4
525000,1522.0,345.0,167.0,4,178.0,5
565000,485.0,1166.0,258.0,4,908.0,5
699900,399.0,1752.0,260.0,3,1492.0,4
850000,515.0,1650.0,220.0,3,1430.0,4
