address,bedroom_count,district,epc_score,habitable_surface,immo_status,immocode,land_surface,municipality,plot_area,postalcode,price,price_per_sqmeter,province,region,room_count,subtype,type
Rue de l'Aviation  5,2,62000,D,60,FOR_SALE,10707752,123,62096,183,4100,119000,650,62000,3000,3,HOUSE,HOUSE
Rue de La Roche  64,5,83000,G,196,FOR_SALE,10707736,899,Hampteau,1095,6990,224000,205,80000,3000,6,HOUSE,HOUSE
Rue des Allies  20,4,83000,C,235,FOR_SALE,10707489,122,Nassogne,357,6950,325000,910,80000,3000,5,APARTMENT_BLOCK,HOUSE
Rue de la Sèroule  35,3,62000,B,130,FOR_SALE,10707554,730,Soumagne,860,4630,379000,441,62000,3000,4,HOUSE,HOUSE
Weldadigheidstraat  2,4,44000,E,194,FOR_SALE,10707453,975,Lievegem,1169,9930,495000,423,40000,2000,5,HOUSE,HOUSE
None  None,2,92000,A,,FOR_SALE,10707199,,Assesse,,5330,589500,859,90000,3000,3,HOUSE_GROUP,HOUSE_GROUP
Jules de Saint-Genoisstraat  81-81A,3,44000,E,,FOR_SALE,10707447,,Gent Gentbrugge,153,9050,600000,3922,40000,2000,4,HOUSE_GROUP,HOUSE_GROUP
Rue du Carreau de Mines  3,3,62000,C,145,FOR_SALE,10704429,395,Fleron,540,4624,300000,556,62000,3000,4,HOUSE,HOUSE
Rue du Korenbeek  225,5,21000,E,190,FOR_SALE,10706340,300,Molenbeek-Saint-Jean,490,1080,398670,814,400001,4000,6,HOUSE,HOUSE
Oude Begijntjesweg  12-28,1,44000,C,,FOR_SALE,10704450,,Deinze,159,9800,412300,2593,40000,2000,2,HOUSE_GROUP,HOUSE_GROUP
"Emmaweg  7,1",0,38000,D,,FOR_SALE,10458225,,Adinkerke,125,8660,351250,2810,30000,2000,1,HOUSE_GROUP,HOUSE_GROUP
Rue Amry  19,6,62000,B,235,FOR_SALE,10654294,1713,Oupeye Heure-le-Romain,1948,4682,499000,256,62000,3000,7,HOUSE,HOUSE
Elsstraat  2,2,44000,C,,FOR_SALE,10310821,,Gent,188,9000,609000,3239,40000,2000,3,HOUSE_GROUP,HOUSE_GROUP
Rue de la Bruyère  73,3,25072,D,148,FOR_SALE,10705370,232,La Hulpe,380,1310,485000,1276,20002,3000,4,HOUSE,HOUSE
Rue de la Bruyère  73,3,25072,D,148,FOR_SALE,10705368,232,Rixensart Genval,380,1332,485000,1276,20002,3000,4,HOUSE,HOUSE
Avenue des Coccinelles  22,5,21000,E,205,FOR_SALE,10704878,220,Watermael-Boitsfort,425,1170,749000,1762,400001,4000,6,TOWN_HOUSE,HOUSE
Zonnestraat  57,5,45000,C,339,FOR_SALE,10671514,160,Ronse,499,9600,295000,591,40000,2000,6,MIXED_USE_BUILDING,HOUSE
Assesteenweg  169,3,23000,C,166,FOR_SALE,10629603,124,Ternat,290,1740,299000,1031,20001,2000,4,HOUSE,HOUSE
