region_code,province_code,arrondisement_code,arrondisement,region_name,province_name
2000,70000,71000,"Hasselt
","Flanders

",Limburg
2000,70000,72000,Maaseik,"Flanders

",Limburg
2000,70000,73000,Tongeren,"Flanders

",Limburg
3000,80000,84000,"Neufchâteau
","Wallonie

",Luxembourg
3000,80000,85000,Virton,"Wallonie

",Luxembourg
2000,10000,13000,"Turnhout
","Flanders

","Antwerp
"
2000,40000,44000,Gent,"Flanders

",EastFlanders
3000,50000,57000,Doornik-Moeskroen,"Wallonie

",Hainaut
3000,60000,62000,"Liège
","Wallonie

","Liège
"
2000,30000,33000,Ieper,"Flanders

",WestFlanders
2000,20001,24000,"Leuven
","Flanders

",FlemishBrabant
2000,10000,12000,"Mechelen
","Flanders

","Antwerp
"
2000,40000,41000,Aalst,"Flanders

",EastFlanders
3000,50000,55000,Zinnik,"Wallonie

",Hainaut
3000,90000,91000,"Dinant
","Wallonie

","Namur

"
2000,30000,36000,Roeselare,"Flanders

",WestFlanders
3000,60000,61000,Hoei,"Wallonie

","Liège
"
3000,60000,64000,Borgworm,"Wallonie

","Liège
"
3000,50000,51000,Aat,"Wallonie

",Henegouwen
2000,40000,42000,Dendermonde,"Flanders

",EastFlanders
3000,90000,93000,Philippeville,"Wallonie

","Namur

"
2000,10000,11000,"Antwerp
","Flanders

","Antwerp
"
4000,311111,21000,Brussels,Brussels,Brussels
2000,40000,43000,Eeklo,"Flanders

",EastFlanders
3000,50000,58000,La Louvière,"Wallonie

",Hainaut
3000,50000,56000,Thuin,"Wallonie

",Hainaut
3000,80000,83000,"Marche-en-Famenne
","Wallonie

",Luxembourg
3000,20002,25000,Nijvel,"Wallonie

","Wallonie
-Brabant"
3000,90000,92000,"Namur
","Wallonie

","Namur

"
2000,30000,35000,Oostende,"Flanders

",West Flanders
3000,50000,53000,Bergen,"Wallonie

",Hainaut
2000,30000,32000,Diksmuide,"Flanders

",WestFlanders
2000,40000,46000,Sint-Niklaas,"Flanders

",EastFlanders
3000,50000,52000,Charleroi,"Wallonie

",Hainaut
2000,30000,34000,Kortrijk,"Flanders

",WestFlanders
2000,20001,23000,"Halle-Vilvoorde
","Flanders

",FlemishBrabant
2000,40000,45000,Oudenaarde,"Flanders

",EastFlanders
3000,80000,82000,Bastenaken,"Wallonie

",Luxembourg
2000,30000,37000,Tielt,"Flanders

",WestFlanders
2000,30000,38000,Veurne,"Flanders

",WestFlanders
3000,80000,81000,Aarlen,"Wallonie

",Luxembourg
2000,30000,31000,Brugge,"Flanders

",WestFlanders
3000,60000,63000,Verviers,"Wallonie

","Liège
"
